Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1906,-41.2,-36.6,-20.3,-7.3,6.2,18.3,18.8,16.2,7,-6.4,-30.2,-31.6,-8.9
1907,-45.7,-34,-23.2,-5.9,5.8,14.3,18.6,14.3,6.3,-5.4,-26.3,-46.7,-10.7
1908,-46.6,-33.3,-23.6,-7.3,6.2,17,999.9,999.9,999.9,999.9,-27.1,-43,999.9
1909,-50.9,-38.7,-23.1,-6.9,999.9,13.2,18.5,999.9,999.9,999.9,-32.3,-34.7,999.9
1910,-40,-33.8,-20.4,-6.9,5,15.8,22.1,16.7,8.1,-4.7,-27.3,-42.2,-9
1911,-44.8,-32.3,-21.3,-6.3,4.1,12.7,15.4,16.9,2.6,-5.8,-25.2,-41.5,-10.5
1912,-39.3,-38.8,-25.4,-7.8,4.8,16.7,16.8,13.5,5.3,-10.7,-29.2,-45.9,-11.7
1913,-42.5,-37.5,-20.2,-10.6,5.2,14.4,20.1,15.1,6.5,-9.3,-30.5,-38.4,-10.6
1914,-41.3,-30.6,-26.4,-7.8,4.3,18.3,19.9,15.1,7.3,-5.9,-31.5,-32.8,-9.3
1915,-46.6,-36.8,-20,-8.4,7,14.2,17.4,9.9,3.6,-10.6,-28.7,-44.5,-12
1916,-44.4,-37.2,-20.6,-9.7,6.1,16.2,19.8,16,4,-4.7,-25.7,-40.8,-10.1
1917,-40.1,-33.6,-22.5,-7.4,5.3,16.2,19.7,14.5,7.1,-7.9,-25.9,-38.9,-9.5
1918,-40.2,-38.3,-20,-7.6,7.2,15.1,16,14.3,5.8,-9.9,-25.8,-44.2,-10.6
1919,999.9,999.9,999.9,999.9,999.9,999.9,18.6,15.2,7.6,-2.9,-25.9,-37.5,999.9
1920,-36.4,-29.5,-18.5,-4.3,7.3,13.4,20.5,14.8,5,-8.9,-26.4,-37.9,-8.4
1921,-40.4,-27.2,-24.6,-9,4,16.4,16.6,14.8,7.8,-7.5,-21,-46.8,-9.7
1922,-46.6,-39.4,-26.5,-9.1,4.6,15.3,17.8,12.9,5.6,-9.7,-28.7,-33.4,-11.4
1923,-46.3,-33.8,-18.1,-7.8,4,13.5,16.7,13.3,3.8,-9.5,-27.7,-39.2,-10.9
